genre,movie_count,avg_rating,avg_votes
Drama,240101,6.18,4128.65
Documentary,139858,7.17,318.8
Comedy,109361,5.88,4651.08
Action,49704,5.72,10946.57
Romance,49304,6.06,4164.47
Crime,38141,5.96,8328.28
Thriller,37977,5.57,7513.61
Horror,34077,4.96,5110.09
Adventure,26762,5.84,16111.44
Family,17923,6.14,4252.31
Mystery,17631,5.79,9936.63
Biography,17011,6.91,7453.1
Music,15572,6.8,2811.41
History,14857,6.75,3742.19
Fantasy,14549,5.82,11513.12
Sci-Fi,10707,5.31,19495.97
Musical,10346,6.15,1763.01
Animation,9187,6.26,12003.24
War,9144,6.36,4340.27
Adult,9016,5.63,62.25
Sport,8171,6.63,4842.68
Western,7195,5.8,2455.65
News,1431,7.19,367.13
Film-Noir,876,6.46,4779.54
Reality-TV,529,6.49,86.56
Talk-Show,204,6.74,129.76
Game-Show,7,7.43,137.33
