genre1,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Sport,Talk-Show,Thriller,War,Western
Action,47,8386,1536,500,7576,9944,588,16766,562,1956,9,0,825,2037,147,255,960,8,8,2235,2114,380,0,5226,1006,415
Adult,0,50,18,11,979,266,82,739,1,142,0,1,10,235,12,7,66,0,1,296,51,14,2,73,2,26
Adventure,0,0,2779,635,5939,1834,2271,7387,2762,2275,6,0,826,741,174,205,575,41,9,1316,1016,354,0,758,382,313
Animation,0,0,0,214,2067,146,480,1099,1373,696,0,0,156,172,138,103,80,4,0,96,362,72,0,46,27,5
Biography,0,0,0,0,915,715,9703,5699,576,77,2,0,3078,38,1495,143,51,99,17,343,14,634,2,71,252,17
Comedy,0,0,0,0,0,6117,2077,29482,4628,3672,16,1,491,4660,2218,3916,1717,27,27,16366,1708,856,12,1974,506,708
Crime,0,0,0,0,0,0,1164,20038,284,308,703,0,315,1671,198,194,3845,34,2,1681,213,94,1,6391,83,87
Documentary,0,0,0,0,0,0,0,5580,1891,214,0,5,6581,360,6779,416,301,1324,85,265,149,3215,22,133,1599,23
Drama,0,0,0,0,0,0,0,0,6629,4583,799,1,5877,5799,3717,3117,7551,150,10,27876,2193,1942,3,12670,5212,6289
Family,0,0,0,0,0,0,0,0,0,1445,0,0,273,79,252,509,198,51,3,964,220,246,2,116,71,67
Fantasy,0,0,0,0,0,0,0,0,0,0,1,1,174,2073,203,327,790,0,1,1106,678,16,1,514,36,17
Film-Noir,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,71,0,0,27,0,8,0,45,0,0
Game-Show,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
History,0,0,0,0,0,0,0,0,0,0,0,0,0,110,440,127,136,357,4,585,44,173,1,193,1324,56
Horror,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,138,4394,1,8,573,2149,16,0,7558,45,65
Music,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,94,18,8,1132,56,50,3,54,51,306
Musical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,2,2057,65,28,0,76,43,54
Mystery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,942,735,14,0,4613,39,44
News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,16,9,4,24,0
Reality-TV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,8,9,5,1,0
Romance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,337,0,1332,768,253
Sci-Fi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1488,38,25
Sport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,21,4
Talk-Show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,70
War,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
