genre1,genre2,movie_count
Comedy,Drama,29482
Drama,Romance,27876
Crime,Drama,20038
Action,Drama,16766
Comedy,Romance,16366
Drama,Thriller,12670
Action,Crime,9944
Biography,Documentary,9703
Action,Adventure,8386
Action,Comedy,7576
Horror,Thriller,7558
Drama,Mystery,7551
Adventure,Drama,7387
Documentary,Music,6779
Drama,Family,6629
Documentary,History,6581
Crime,Thriller,6391
Drama,Western,6289
Comedy,Crime,6117
Adventure,Comedy,5939
Drama,History,5877
Drama,Horror,5799
Biography,Drama,5699
Documentary,Drama,5580
Action,Thriller,5226
Drama,War,5212
Comedy,Horror,4660
Comedy,Family,4628
Mystery,Thriller,4613
Drama,Fantasy,4583
Horror,Mystery,4394
Comedy,Musical,3916
Crime,Mystery,3845
Drama,Music,3717
Comedy,Fantasy,3672
Documentary,Sport,3215
Drama,Musical,3117
Biography,History,3078
Adventure,Animation,2779
Adventure,Family,2762
Adventure,Fantasy,2275
Adventure,Documentary,2271
Action,Romance,2235
Comedy,Music,2218
Drama,Sci-Fi,2193
Horror,Sci-Fi,2149
Action,Sci-Fi,2114
Comedy,Documentary,2077
Fantasy,Horror,2073
Animation,Comedy,2067
Musical,Romance,2057
Action,Horror,2037
Comedy,Thriller,1974
Action,Fantasy,1956
Drama,Sport,1942
Documentary,Family,1891
Adventure,Crime,1834
Comedy,Mystery,1717
Comedy,Sci-Fi,1708
Crime,Romance,1681
Crime,Horror,1671
Documentary,War,1599
Action,Animation,1536
Biography,Music,1495
Sci-Fi,Thriller,1488
Family,Fantasy,1445
Animation,Family,1373
Romance,Thriller,1332
Documentary,News,1324
History,War,1324
Adventure,Romance,1316
Crime,Documentary,1164
Music,Romance,1132
Fantasy,Romance,1106
Animation,Drama,1099
Adventure,Sci-Fi,1016
Action,War,1006
Adult,Comedy,979
Family,Romance,964
Action,Mystery,960
Mystery,Romance,942
Biography,Comedy,915
Comedy,Sport,856
Adventure,History,826
Action,History,825
Drama,Film-Noir,799
Fantasy,Mystery,790
Romance,War,768
Adventure,Thriller,758
Adventure,Horror,741
Adult,Drama,739
Mystery,Sci-Fi,735
Biography,Crime,715
Comedy,Western,708
Crime,Film-Noir,703
Animation,Fantasy,696
Fantasy,Sci-Fi,678
Adventure,Biography,635
Biography,Sport,634
Action,Documentary,588
History,Romance,585
Biography,Family,576
Adventure,Mystery,575
Horror,Romance,573
Action,Family,562
Fantasy,Thriller,514
Family,Musical,509
Comedy,War,506
Action,Biography,500
Comedy,History,491
Animation,Documentary,480
History,Music,440
Documentary,Musical,416
Action,Western,415
Adventure,War,382
Action,Sport,380
Romance,Sci-Fi,363
Animation,Sci-Fi,362
Documentary,Horror,360
History,News,357
Adventure,Sport,354
Biography,Romance,343
Romance,Sport,337
Fantasy,Musical,327
Music,Musical,315
Crime,History,315
Adventure,Western,313
Crime,Fantasy,308
Music,Western,306
Documentary,Mystery,301
Adult,Romance,296
Crime,Family,284
Family,History,273
Adult,Crime,266
Documentary,Romance,265
Action,Musical,255
Romance,Western,253
Biography,War,252
Family,Music,252
Thriller,War,248
Family,Sport,246
Adult,Horror,235
Family,Sci-Fi,220
Documentary,Fantasy,214
Animation,Biography,214
Crime,Sci-Fi,213
Adventure,Musical,205
Fantasy,Music,203
Crime,Music,198
Family,Mystery,198
Crime,Musical,194
History,Thriller,193
Adventure,Music,174
