decade,genre1,genre2,movie_count,combination
1900,Action,Adventure,1,Action + Adventure
1900,Action,Biography,1,Action + Biography
1900,Adventure,Biography,1,Adventure + Biography
1900,Adventure,Drama,1,Adventure + Drama
1900,Adventure,Fantasy,1,Adventure + Fantasy
1900,Biography,Drama,3,Biography + Drama
1900,Biography,Family,1,Biography + Family
1900,Biography,History,1,Biography + History
1900,Comedy,Musical,2,Comedy + Musical
1900,Documentary,News,4,Documentary + News
1900,Documentary,Sport,9,Documentary + Sport
1900,Documentary,War,3,Documentary + War
1900,Drama,Family,1,Drama + Family
1900,Drama,History,2,Drama + History
1900,Drama,Horror,1,Drama + Horror
1900,Drama,War,2,Drama + War
1900,News,Sport,3,News + Sport
1910,Action,Adventure,67,Action + Adventure
1910,Action,Biography,3,Action + Biography
1910,Action,Comedy,14,Action + Comedy
1910,Action,Crime,108,Action + Crime
1910,Action,Drama,74,Action + Drama
1910,Action,History,2,Action + History
1910,Action,Mystery,13,Action + Mystery
1910,Action,Romance,17,Action + Romance
1910,Action,Sci-Fi,1,Action + Sci-Fi
1910,Action,Thriller,9,Action + Thriller
1910,Action,War,7,Action + War
1910,Action,Western,3,Action + Western
1910,Adventure,Biography,2,Adventure + Biography
1910,Adventure,Comedy,30,Adventure + Comedy
1910,Adventure,Crime,26,Adventure + Crime
1910,Adventure,Documentary,3,Adventure + Documentary
1910,Adventure,Drama,124,Adventure + Drama
1910,Adventure,Family,6,Adventure + Family
1910,Adventure,Fantasy,9,Adventure + Fantasy
1910,Adventure,History,6,Adventure + History
1910,Adventure,Horror,2,Adventure + Horror
1910,Adventure,Mystery,7,Adventure + Mystery
1910,Adventure,Romance,38,Adventure + Romance
1910,Adventure,Sci-Fi,4,Adventure + Sci-Fi
1910,Adventure,Thriller,3,Adventure + Thriller
1910,Adventure,War,4,Adventure + War
1910,Adventure,Western,6,Adventure + Western
1910,Animation,Comedy,2,Animation + Comedy
1910,Animation,Drama,1,Animation + Drama
1910,Biography,Comedy,1,Biography + Comedy
1910,Biography,Crime,2,Biography + Crime
1910,Biography,Documentary,2,Biography + Documentary
1910,Biography,Drama,47,Biography + Drama
1910,Biography,History,18,Biography + History
1910,Biography,Romance,3,Biography + Romance
1910,Biography,War,3,Biography + War
1910,Biography,Western,1,Biography + Western
1910,Comedy,Crime,32,Comedy + Crime
1910,Comedy,Drama,429,Comedy + Drama
1910,Comedy,Family,4,Comedy + Family
