averageRating,numVotes,runtimeMinutes,year,log_numVotes,cluster
6.0,1084.0,70.0,1906,6.98933526597456,2
4.8,40.0,90.0,1907,3.713572066704308,2
4.9,82.0,120.0,1908,4.418840607796598,2
4.2,39.0,45.0,1909,3.6888794541139363,2
3.2,28.0,58.0,1910,3.367295829986474,2
5.2,90.0,50.0,1909,4.51085950651685,2
7.0,22.0,51.0,1911,3.1354942159291497,2
5.7,45.0,52.0,1911,3.828641396489095,2
5.8,73.0,60.0,1913,4.30406509320417,2
5.0,19.0,56.0,1911,2.995732273553991,2
5.8,299.0,53.0,1911,5.703782474656201,2
3.7,25.0,50.0,1911,3.258096538021482,2
5.7,128.0,48.0,1911,4.859812404361672,2
4.7,53.0,47.0,1912,3.9889840465642745,2
4.7,194.0,53.0,1912,5.272999558563747,2
6.0,16.0,45.0,1912,2.833213344056216,2
4.6,19.0,68.0,1912,2.995732273553991,2
5.1,668.0,100.0,1912,6.505784060128229,2
7.1,4234.0,71.0,1911,8.351138607086154,2
5.8,93.0,45.0,1912,4.543294782270004,2
6.5,169.0,46.0,1912,5.135798437050262,2
5.9,716.0,71.0,1912,6.57507584059962,2
6.7,1139.0,113.0,1919,7.038783541388542,2
6.1,552.0,120.0,1913,6.315358001522335,2
6.3,293.0,120.0,1912,5.683579767338681,2
5.7,365.0,55.0,1912,5.902633333401366,2
5.9,42.0,48.0,1912,3.7612001156935624,2
4.9,23.0,60.0,1912,3.1780538303479458,2
5.4,47.0,150.0,1912,3.871201010907891,2
5.9,68.0,48.0,1912,4.23410650459726,2
5.5,54.0,300.0,1913,4.007333185232471,4
5.3,144.0,48.0,1913,4.976733742420574,2
7.0,23.0,45.0,1913,3.1780538303479458,2
5.9,16.0,50.0,1914,2.833213344056216,2
6.5,537.0,121.0,1913,6.2878585601617845,2
6.6,47.0,48.0,1913,3.871201010907891,2
5.0,13.0,89.0,1913,2.6390573296152584,2
5.6,73.0,69.0,1913,4.30406509320417,2
6.2,22.0,69.0,1913,3.1354942159291497,2
3.9,63.0,56.0,1913,4.1588830833596715,2
6.5,30.0,50.0,1914,3.4339872044851463,2
6.9,2748.0,54.0,1913,7.918992488165245,2
5.9,116.0,90.0,1913,4.762173934797756,2
6.9,198.0,150.0,1913,5.293304824724492,2
5.7,54.0,51.0,1913,4.007333185232471,2
4.8,93.0,64.0,1913,4.543294782270004,2
5.8,37.0,68.0,1913,3.6375861597263857,2
5.6,33.0,47.0,1913,3.5263605246161616,2
5.7,32.0,50.0,1913,3.4965075614664802,2
7.0,1623.0,96.0,1913,7.392647520721623,2
4.5,82.0,49.0,1913,4.418840607796598,2
5.7,130.0,53.0,1913,4.875197323201151,2
6.9,1864.0,61.0,1913,7.5310163320779155,2
6.1,187.0,90.0,1914,5.236441962829949,2
6.3,18.0,50.0,1913,2.9444389791664403,2
6.6,215.0,50.0,1914,5.375278407684165,2
7.2,19.0,100.0,1913,2.995732273553991,2
5.6,69.0,300.0,1913,4.248495242049359,4
6.9,1491.0,90.0,1913,7.307872780763706,2
5.7,313.0,55.0,1914,5.749392985908253,2
3.6,16.0,54.0,1913,2.833213344056216,2
4.6,25.0,90.0,1913,3.258096538021482,2
5.8,56.0,55.0,1913,4.04305126783455,2
6.6,24.0,56.0,1913,3.2188758248682006,2
6.4,33.0,57.0,1913,3.5263605246161616,2
6.2,141.0,110.0,1913,4.955827057601261,2
7.0,13.0,56.0,1913,2.6390573296152584,2
6.0,33.0,70.0,1913,3.5263605246161616,2
5.6,29.0,60.0,1913,3.4011973816621555,2
6.4,2742.0,83.0,1913,7.916807490937603,2
6.0,805.0,88.0,1913,6.692083742506628,2
6.1,686.0,107.0,1913,6.532334292222349,2
6.4,60.0,105.0,1913,4.110873864173311,2
4.5,28.0,50.0,1914,3.367295829986474,2
6.0,74.0,170.0,1914,4.31748811353631,4
6.0,21.0,75.0,1917,3.091042453358316,2
6.1,23.0,63.0,1916,3.1780538303479458,2
6.2,534.0,72.0,1915,6.282266746896006,2
6.4,1592.0,78.0,1914,7.373374309910049,2
7.0,17.0,45.0,1915,2.8903717578961645,2
6.5,304.0,70.0,1914,5.720311776607412,2
6.1,102.0,50.0,1914,4.634728988229636,2
5.4,26.0,60.0,1914,3.295836866004329,2
6.3,38.0,75.0,1914,3.6635616461296463,2
5.4,45.0,48.0,1914,3.828641396489095,2
4.5,24.0,50.0,1914,3.2188758248682006,2
4.4,17.0,50.0,1914,2.8903717578961645,2
7.1,4390.0,148.0,1914,8.387312270561717,2
4.6,17.0,50.0,1914,2.8903717578961645,2
7.6,20.0,60.0,1914,3.044522437723423,2
3.7,18.0,50.0,1914,2.9444389791664403,2
7.0,14.0,80.0,1914,2.70805020110221,2
6.0,1148.0,52.0,1914,7.046647277848756,2
4.7,19.0,50.0,1914,2.995732273553991,2
6.4,48.0,100.0,1914,3.8918202981106265,2
3.7,31.0,56.0,1936,3.4657359027997265,2
5.7,20.0,57.0,1914,3.044522437723423,2
7.2,520.0,124.0,1913,6.255750041753367,2
6.3,138.0,49.0,1914,4.9344739331306915,2
5.5,53.0,60.0,1914,3.9889840465642745,2
6.0,101.0,220.0,1914,4.624972813284271,4
6.8,1580.0,59.0,1914,7.365812837209472,2
6.7,1342.0,70.0,1914,7.202661196523238,2
5.8,342.0,63.0,1914,5.8377304471659395,2
5.5,12.0,64.0,1914,2.5649493574615367,2
6.6,13.0,54.0,1914,2.6390573296152584,2
4.5,51.0,60.0,1914,3.9512437185814275,2
6.4,83.0,112.0,1914,4.430816798843313,2
6.7,1339.0,60.0,1914,7.200424892944957,2
5.8,32.0,50.0,1914,3.4965075614664802,2
6.9,18.0,69.0,1913,2.9444389791664403,2
6.8,783.0,84.0,1914,6.664409020350408,2
5.3,579.0,59.0,1914,6.363028103540465,2
5.5,196.0,65.0,1914,5.2832037287379885,2
6.4,844.0,54.0,1915,6.739336627357174,2
5.8,593.0,65.0,1914,6.386879319362645,2
3.8,55.0,50.0,1914,4.02535169073515,2
7.6,23.0,50.0,1914,3.1780538303479458,2
4.9,57.0,52.0,1914,4.060443010546419,2
6.2,1559.0,61.0,1914,7.352441100243583,2
6.8,70.0,75.0,1914,4.2626798770413155,2
5.4,36.0,74.0,1914,3.6109179126442243,2
6.1,79.0,105.0,1914,4.382026634673881,2
4.2,13.0,50.0,1914,2.6390573296152584,2
3.8,22.0,50.0,1914,3.1354942159291497,2
6.2,26.0,300.0,1914,3.295836866004329,4
6.4,17.0,50.0,1914,2.8903717578961645,2
4.8,19.0,60.0,1914,2.995732273553991,2
5.5,28.0,50.0,1914,3.367295829986474,2
5.4,26.0,310.0,1914,3.295836866004329,4
4.7,53.0,59.0,1914,3.9889840465642745,2
6.0,37.0,50.0,1914,3.6375861597263857,2
4.4,26.0,60.0,1914,3.295836866004329,2
6.0,55.0,73.0,1914,4.02535169073515,2
5.7,155.0,65.0,1914,5.049856007249537,2
5.4,70.0,70.0,1914,4.2626798770413155,2
5.4,633.0,81.0,1914,6.452048954437226,2
6.2,1123.0,199.0,1914,7.024649030453636,4
5.0,14.0,50.0,1914,2.70805020110221,2
4.6,16.0,50.0,1914,2.833213344056216,2
5.7,71.0,109.0,1914,4.276666119016055,2
2.9,51.0,50.0,1914,3.9512437185814275,2
5.8,89.0,85.0,1914,4.499809670330265,2
6.3,32.0,60.0,1914,3.4965075614664802,2
5.6,42.0,67.0,1916,3.7612001156935624,2
5.6,21.0,50.0,1914,3.091042453358316,2
5.8,82.0,70.0,1914,4.418840607796598,2
6.6,13.0,60.0,1914,2.6390573296152584,2
5.6,128.0,110.0,1914,4.859812404361672,2
7.7,16.0,60.0,1914,2.833213344056216,2
5.6,1159.0,74.0,1914,7.05617528410041,2
5.4,9.0,60.0,1914,2.302585092994046,2
5.0,9.0,58.0,1914,2.302585092994046,2
5.9,313.0,80.0,1914,5.749392985908253,2
6.2,3936.0,82.0,1914,8.278174290943738,2
6.2,278.0,67.0,1915,5.631211781821365,2
2.0,25.0,310.0,1914,3.258096538021482,4
4.2,42.0,45.0,1914,3.7612001156935624,2
5.6,216.0,54.0,1914,5.37989735354046,2
5.6,298.0,55.0,1914,5.700443573390687,2
5.8,19.0,45.0,1914,2.995732273553991,2
6.2,32.0,50.0,1914,3.4965075614664802,2
6.4,394.0,54.0,1914,5.978885764901122,2
5.2,69.0,55.0,1914,4.248495242049359,2
6.1,35.0,50.0,1914,3.58351893845611,2
5.8,228.0,56.0,1914,5.43372200355424,2
5.8,15.0,70.0,1914,2.772588722239781,2
6.2,18.0,60.0,1915,2.9444389791664403,2
4.4,28.0,50.0,1915,3.367295829986474,2
6.6,316.0,65.0,1915,5.75890177387728,2
6.1,1022.0,52.0,1915,6.930494765951626,2
4.2,14.0,50.0,1915,2.70805020110221,2
4.0,15.0,50.0,1915,2.772588722239781,2
4.0,25.0,50.0,1915,3.258096538021482,2
5.1,55.0,50.0,1915,4.02535169073515,2
4.8,12.0,50.0,1915,2.5649493574615367,2
4.7,14.0,50.0,1915,2.70805020110221,2
6.8,15.0,50.0,1915,2.772588722239781,2
4.9,21.0,90.0,1915,3.091042453358316,2
7.2,11.0,50.0,1915,2.4849066497880004,2
6.1,28475.0,195.0,1915,10.256816906223763,4
4.2,31.0,195.0,1915,3.4657359027997265,4
6.6,20.0,50.0,1915,3.044522437723423,2
6.5,69.0,50.0,1915,4.248495242049359,2
6.6,21.0,50.0,1915,3.091042453358316,2
3.4,10.0,50.0,1915,2.3978952727983707,2
4.6,21.0,50.0,1915,3.091042453358316,2
6.5,196.0,50.0,1915,5.2832037287379885,2
