genre,movie_count,avg_rating,avg_votes
News,685,7.19,367.13
Documentary,57189,7.17,318.8
Biography,11075,6.91,7453.1
Music,9430,6.8,2811.41
History,9845,6.75,3742.19
Sport,4492,6.63,4842.68
Reality-TV,101,6.49,86.56
Film-Noir,876,6.46,4779.54
War,6805,6.36,4340.27
Animation,6507,6.26,12003.24
Drama,158026,6.18,4128.65
Musical,7112,6.15,1763.01
Family,13357,6.14,4252.31
Romance,37689,6.06,4164.47
Crime,30239,5.96,8328.28
Comedy,83356,5.88,4651.08
Adventure,20979,5.84,16111.44
Fantasy,10695,5.82,11513.12
Western,5142,5.8,2455.65
Mystery,13789,5.79,9936.63
Action,35656,5.72,10946.57
Adult,4703,5.63,62.25
Thriller,29796,5.57,7513.61
Sci-Fi,8207,5.31,19495.97
Horror,27061,4.96,5110.09
