decade,genre,movie_count
1900,Action,2
1900,Adventure,3
1900,Biography,4
1900,Comedy,6
1900,Documentary,71
1900,Drama,20
1900,Family,1
1900,Fantasy,2
1900,History,3
1900,Horror,1
1900,Music,2
1900,Musical,3
1900,News,4
1900,Romance,1
1900,Sport,9
1900,War,5
1910,Action,242
1910,Adventure,344
1910,Animation,5
1910,Biography,56
1910,Comedy,1306
1910,Crime,771
1910,Documentary,434
1910,Drama,6404
1910,Family,15
1910,Fantasy,82
1910,History,162
1910,Horror,69
1910,Music,9
1910,Musical,6
1910,Mystery,217
1910,News,1
1910,Romance,670
1910,Sci-Fi,30
1910,Sport,40
1910,Thriller,100
1910,War,284
1910,Western,346
1920,Action,732
1920,Adventure,869
1920,Animation,22
1920,Biography,90
1920,Comedy,2424
1920,Crime,852
1920,Documentary,818
1920,Drama,10256
1920,Family,62
1920,Fantasy,143
1920,Film-Noir,4
1920,History,309
1920,Horror,111
1920,Music,38
1920,Musical,82
1920,Mystery,318
1920,News,2
1920,Romance,1736
1920,Sci-Fi,31
1920,Sport,129
1920,Thriller,124
1920,War,201
1920,Western,1367
1930,Action,817
1930,Adventure,846
1930,Animation,26
1930,Biography,132
1930,Comedy,4402
1930,Crime,1621
1930,Documentary,1459
1930,Drama,9880
1930,Family,225
1930,Fantasy,163
1930,Film-Noir,65
1930,History,301
1930,Horror,171
1930,Music,408
1930,Musical,1084
1930,Mystery,650
1930,News,10
1930,Romance,2705
1930,Sci-Fi,63
1930,Sport,140
1930,Thriller,173
1930,War,345
1930,Western,982
1940,Action,652
1940,Adventure,802
1940,Animation,68
1940,Biography,213
1940,Comedy,3553
1940,Crime,1280
1940,Documentary,627
1940,Drama,7308
1940,Family,349
1940,Fantasy,245
1940,Film-Noir,392
1940,History,304
1940,Horror,199
1940,Music,615
1940,Musical,855
1940,Mystery,551
1940,News,1
1940,Romance,1909
1940,Sci-Fi,50
1940,Sport,82
1940,Thriller,243
1940,War,770
1940,Western,1063
1950,Action,1211
1950,Adventure,1421
1950,Animation,95
1950,Biography,331
1950,Comedy,4834
1950,Crime,2017
1950,Documentary,1182
1950,Drama,11141
1950,Family,745
1950,Fantasy,535
1950,Film-Noir,415
1950,History,492
1950,Horror,342
1950,Music,471
1950,Musical,1242
1950,Mystery,473
1950,News,5
1950,Romance,2625
1950,Sci-Fi,253
1950,Sport,159
1950,Thriller,518
1950,War,751
1950,Western,834
1960,Action,3297
1960,Adult,41
1960,Adventure,2514
1960,Animation,143
1960,Biography,288
1960,Comedy,6130
1960,Crime,2982
1960,Documentary,1900
1960,Drama,13920
1960,Family,922
1960,Fantasy,708
1960,History,632
1960,Horror,749
1960,Music,365
