tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,cluster
tt0111161,The Shawshank Redemption,1994,142.0,Drama,9.3,3226746,1
tt0468569,The Dark Knight,2008,152.0,"Crime,Thriller",9.1,3214202,1
tt1375666,Inception,2010,148.0,"Adventure,Sci-Fi,Thriller",8.8,2857890,1
tt0137523,Fight Club,1999,139.0,"Crime,Drama,Thriller",8.8,2650453,1
tt0816692,Interstellar,2014,169.0,"Adventure,Drama,Sci-Fi",8.7,2591902,1
tt0109830,Forrest Gump,1994,142.0,"Drama,Romance",8.8,2526169,1
tt0110912,Pulp Fiction,1994,154.0,"Crime,Drama",8.8,2460210,1
tt0133093,The Matrix,1999,136.0,"Action,Sci-Fi",8.7,2270797,1
tt0068646,The Godfather,1972,175.0,"Crime,Drama",9.2,2248906,1
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178.0,"Adventure,Drama,Fantasy",8.9,2229796,1
tt0167260,The Lord of the Rings: The Return of the King,2003,201.0,"Adventure,Drama,Fantasy",9.0,2186478,1
tt0114369,Seven,1995,127.0,"Crime,Drama,Mystery",8.6,2050306,1
tt1345836,The Dark Knight Rises,2012,164.0,"Crime,Thriller",8.4,2020970,1
tt0167261,The Lord of the Rings: The Two Towers,2002,179.0,"Adventure,Drama,Fantasy",8.8,1977587,1
tt1853728,Django Unchained,2012,165.0,"Drama,Western",8.5,1906999,1
tt0172495,Gladiator,2000,155.0,"Action,Adventure,Drama",8.5,1874793,1
tt0993846,The Wolf of Wall Street,2013,180.0,"Biography,Comedy,Crime",8.2,1818015,1
tt0361748,Inglourious Basterds,2009,153.0,"Drama,War",8.4,1811355,1
tt0102926,The Silence of the Lambs,1991,118.0,"Crime,Drama,Horror",8.6,1742894,1
tt0372784,Batman Begins,2005,140.0,Crime,8.2,1738182,1
tt7286456,Joker,2019,122.0,Drama,8.3,1718907,1
tt1130884,Shutter Island,2010,138.0,"Mystery,Thriller",8.2,1675833,1
tt0120815,Saving Private Ryan,1998,169.0,"Drama,War",8.6,1657057,1
tt0482571,The Prestige,2006,130.0,"Drama,Mystery,Sci-Fi",8.5,1617899,1
tt0108052,Schindler's List,1993,196.0,"Biography,Drama,History",9.0,1598721,1
tt0076759,Star Wars: Episode IV - A New Hope,1977,121.0,"Action,Adventure,Fantasy",8.6,1584485,1
tt0120689,The Green Mile,1999,189.0,"Crime,Drama,Fantasy",8.6,1579499,1
tt0848228,The Avengers,2012,143.0,"Action,Sci-Fi",8.0,1576760,1
tt0407887,The Departed,2006,151.0,"Crime,Drama,Thriller",8.5,1572748,1
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,124.0,"Adventure,Fantasy,Sci-Fi",8.7,1519361,1
tt0499549,Avatar,2009,162.0,"Action,Adventure,Fantasy",7.9,1512506,1
tt0071562,The Godfather Part II,1974,202.0,"Crime,Drama",9.0,1508525,1
tt4154796,Avengers: Endgame,2019,181.0,"Action,Adventure,Sci-Fi",8.4,1478034,1
tt0088763,Back to the Future,1985,116.0,"Adventure,Comedy,Sci-Fi",8.5,1470386,1
tt0209144,Memento,2000,113.0,"Mystery,Thriller",8.4,1454200,1
tt0120338,Titanic,1997,194.0,"Drama,Romance",8.0,1408274,1
tt0099685,GoodFellas,1990,145.0,"Biography,Crime,Drama",8.7,1407998,1
tt4154756,Avengers: Infinity War,2018,149.0,"Action,Adventure,Sci-Fi",8.4,1401503,1
tt0120382,The Truman Show,1998,103.0,"Comedy,Drama",8.2,1398950,1
tt2015381,Guardians of the Galaxy,2014,121.0,"Action,Adventure,Comedy",8.0,1379010,1
tt0110413,Léon: The Professional,1994,110.0,"Action,Crime,Drama",8.5,1361983,1
